Hora;Apparent Zenith;Zenith;Apparent Elevation;Elevation;Azimuth;Equation of time
2024-09-21 00:00:00;128,411053;128,411053;-38,411053;-38,411053;318,971979;6,916831
2024-09-21 00:10:00;129,582342;129,582342;-39,582342;-39,582342;321,814682;6,9193
2024-09-21 00:20:00;130,680965;130,680965;-40,680965;-40,680965;324,752725;6,92177
2024-09-21 00:30:00;131,701593;131,701593;-41,701593;-41,701593;327,786324;6,92424
2024-09-21 00:40:00;132,638846;132,638846;-42,638846;-42,638846;330,914306;6,92671
2024-09-21 00:50:00;133,487377;133,487377;-43,487377;-43,487377;334,133902;6,929179
2024-09-21 01:00:00;134,241982;134,241982;-44,241982;-44,241982;337,440576;6,931649
2024-09-21 01:10:00;134,897706;134,897706;-44,897706;-44,897706;340,8279;6,934118
2024-09-21 01:20:00;135,449983;135,449983;-45,449983;-45,449983;344,2875;6,936588
2024-09-21 01:30:00;135,894757;135,894757;-45,894757;-45,894757;347,809095;6,939057
2024-09-21 01:40:00;136,228619;136,228619;-46,228619;-46,228619;351,380642;6,941526
2024-09-21 01:50:00;136,44892;136,44892;-46,44892;-46,44892;354,988592;6,943995
2024-09-21 02:00:00;136,553871;136,553871;-46,553871;-46,553871;358,618244;6,946464
2024-09-21 02:10:00;136,542609;136,542609;-46,542609;-46,542609;2,254197;6,948933
2024-09-21 02:20:00;136,415233;136,415233;-46,415233;-46,415233;5,880839;6,951402
2024-09-21 02:30:00;136,172797;136,172797;-46,172797;-46,172797;9,482869;6,953871
2024-09-21 02:40:00;135,817275;135,817275;-45,817275;-45,817275;13,045783;6,95634
2024-09-21 02:50:00;135,351479;135,351479;-45,351479;-45,351479;16,556306;6,958808
2024-09-21 03:00:00;134,778961;134,778961;-44,778961;-44,778961;20,002728;6,961277
2024-09-21 03:10:00;134,103893;134,103893;-44,103893;-44,103893;23,37514;6,963745
2024-09-21 03:20:00;133,330934;133,330934;-43,330934;-43,330934;26,665554;6,966214
2024-09-21 03:30:00;132,465103;132,465103;-42,465103;-42,465103;29,867926;6,968682
2024-09-21 03:40:00;131,511646;131,511646;-41,511646;-41,511646;32,978084;6,97115
2024-09-21 03:50:00;130,475927;130,475927;-40,475927;-40,475927;35,993592;6,973619
2024-09-21 04:00:00;129,363326;129,363326;-39,363326;-39,363326;38,913571;6,976087
2024-09-21 04:10:00;128,179159;128,179159;-38,179159;-38,179159;41,738488;6,978555
2024-09-21 04:20:00;126,928608;126,928608;-36,928608;-36,928608;44,469941;6,981022
2024-09-21 04:30:00;125,616674;125,616674;-35,616674;-35,616674;47,110449;6,98349
2024-09-21 04:40:00;124,248142;124,248142;-34,248142;-34,248142;49,663256;6,985958
2024-09-21 04:50:00;122,827558;122,827558;-32,827558;-32,827558;52,132155;6,988426
2024-09-21 05:00:00;121,359217;121,359217;-31,359217;-31,359217;54,521334;6,990893
2024-09-21 05:10:00;119,847159;119,847159;-29,847159;-29,847159;56,835249;6,993361
2024-09-21 05:20:00;118,295172;118,295172;-28,295172;-28,295172;59,078521;6,995828
2024-09-21 05:30:00;116,706801;116,706801;-26,706801;-26,706801;61,255847;6,998295
2024-09-21 05:40:00;115,085357;115,085357;-25,085357;-25,085357;63,371935;7,000763
2024-09-21 05:50:00;113,433934;113,433934;-23,433934;-23,433934;65,431461;7,00323
2024-09-21 06:00:00;111,755421;111,755421;-21,755421;-21,755421;67,439025;7,005697
2024-09-21 06:10:00;110,052522;110,052522;-20,052522;-20,052522;69,399131;7,008164
2024-09-21 06:20:00;108,327767;108,327767;-18,327767;-18,327767;71,316175;7,010631
2024-09-21 06:30:00;106,583532;106,583532;-16,583532;-16,583532;73,194429;7,013098
2024-09-21 06:40:00;104,822055;104,822055;-14,822055;-14,822055;75,038047;7,015564
2024-09-21 06:50:00;103,045452;103,045452;-13,045452;-13,045452;76,851067;7,018031
2024-09-21 07:00:00;101,255729;101,255729;-11,255729;-11,255729;78,637411;7,020497
2024-09-21 07:10:00;99,454797;99,454797;-9,454797;-9,454797;80,400903;7,022964
2024-09-21 07:20:00;97,644492;97,644492;-7,644492;-7,644492;82,145274;7,02543
2024-09-21 07:30:00;95,826579;95,826579;-5,826579;-5,826579;83,874178;7,027897
2024-09-21 07:40:00;94,002772;94,002772;-4,002772;-4,002772;85,591205;7,030363
2024-09-21 07:50:00;92,174744;92,174744;-2,174744;-2,174744;87,299894;7,032829
2024-09-21 08:00:00;89,843021;90,344137;0,156979;-0,344137;89,003752;7,035295
2024-09-21 08:10:00;88,214083;88,512579;1,785917;1,487421;90,706267;7,037761
2024-09-21 08:20:00;86,481497;86,681692;3,518503;3,318308;92,410924;7,040227
2024-09-21 08:30:00;84,705591;84,853104;5,294409;5,146896;94,121223;7,042693
2024-09-21 08:40:00;82,912769;83,028463;7,087231;6,971537;95,840693;7,045158
2024-09-21 08:50:00;81,114768;81,209448;8,885232;8,790552;97,57291;7,047624
2024-09-21 09:00:00;79,317915;79,397781;10,682085;10,602219;99,321512;7,050089
2024-09-21 09:10:00;77,52634;77,59524;12,47366;12,40476;101,090214;7,052555
2024-09-21 09:20:00;75,743202;75,803672;14,256798;14,196328;102,882822;7,05502
2024-09-21 09:30:00;73,971213;74,025009;16,028787;15,974991;104,703248;7,057486
2024-09-21 09:40:00;72,212896;72,261278;17,787104;17,738722;106,555521;7,059951
2024-09-21 09:50:00;70,470715;70,514622;19,529285;19,485378;108,443799;7,062416
2024-09-21 10:00:00;68,747165;68,78731;21,252835;21,21269;110,372372;7,064881
2024-09-21 10:10:00;67,044817;67,081756;22,955183;22,918244;112,34567;7,067346
2024-09-21 10:20:00;65,366362;65,400538;24,633638;24,599462;114,368262;7,069811
2024-09-21 10:30:00;63,714641;63,746412;26,285359;26,253588;116,444843;7,072275
2024-09-21 10:40:00;62,09267;62,122331;27,90733;27,877669;118,580227;7,07474
2024-09-21 10:50:00;60,503667;60,531463;29,496333;29,468537;120,779315;7,077204
2024-09-21 11:00:00;58,951068;58,977207;31,048932;31,022793;123,04706;7,079669
2024-09-21 11:10:00;57,438548;57,463206;32,561452;32,536794;125,388416;7,082133
2024-09-21 11:20:00;55,970033;55,993365;34,029967;34,006635;127,808263;7,084598
2024-09-21 11:30:00;54,549715;54,571854;35,450285;35,428146;130,311323;7,087062
2024-09-21 11:40:00;53,18205;53,203114;36,81795;36,796886;132,902037;7,089526
2024-09-21 11:50:00;51,871761;51,891857;38,128239;38,108143;135,584429;7,09199
2024-09-21 12:00:00;50,623823;50,643048;39,376177;39,356952;138,361938;7,094454
2024-09-21 12:10:00;49,44344;49,461882;40,55656;40,538118;141,237221;7,096918
2024-09-21 12:20:00;48,33601;48,353749;41,66399;41,646251;144,211936;7,099382
