Hora;Apparent Zenith;Zenith;Apparent Elevation;Elevation;Azimuth;Equation of time
2024-06-21 00:00:00;107,030156;107,030156;-17,030156;-17,030156;328,365113;-1,792405
2024-06-21 00:10:00;107,961362;107,961362;-17,961362;-17,961362;330,562563;-1,793907
2024-06-21 00:20:00;108,830809;108,830809;-18,830809;-18,830809;332,799008;-1,795409
2024-06-21 00:30:00;109,636092;109,636092;-19,636092;-19,636092;335,073271;-1,796911
2024-06-21 00:40:00;110,374879;110,374879;-20,374879;-20,374879;337,383785;-1,798412
2024-06-21 00:50:00;111,044937;111,044937;-21,044937;-21,044937;339,728581;-1,799914
2024-06-21 01:00:00;111,644159;111,644159;-21,644159;-21,644159;342,105285;-1,801416
2024-06-21 01:10:00;112,170593;112,170593;-22,170593;-22,170593;344,511125;-1,802918
2024-06-21 01:20:00;112,622466;112,622466;-22,622466;-22,622466;346,942947;-1,804419
2024-06-21 01:30:00;112,998214;112,998214;-22,998214;-22,998214;349,397244;-1,805921
2024-06-21 01:40:00;113,296505;113,296505;-23,296505;-23,296505;351,870186;-1,807422
2024-06-21 01:50:00;113,51626;113,51626;-23,51626;-23,51626;354,35767;-1,808924
2024-06-21 02:00:00;113,656672;113,656672;-23,656672;-23,656672;356,855376;-1,810426
2024-06-21 02:10:00;113,71722;113,71722;-23,71722;-23,71722;359,358824;-1,811927
2024-06-21 02:20:00;113,697677;113,697677;-23,697677;-23,697677;1,863447;-1,813429
2024-06-21 02:30:00;113,598118;113,598118;-23,598118;-23,598118;4,36466;-1,81493
2024-06-21 02:40:00;113,418912;113,418912;-23,418912;-23,418912;6,857931;-1,816431
2024-06-21 02:50:00;113,160722;113,160722;-23,160722;-23,160722;9,338848;-1,817933
2024-06-21 03:00:00;112,824489;112,824489;-22,824489;-22,824489;11,803191;-1,819434
2024-06-21 03:10:00;112,411419;112,411419;-22,411419;-22,411419;14,246984;-1,820936
2024-06-21 03:20:00;111,92296;111,92296;-21,92296;-21,92296;16,666549;-1,822437
2024-06-21 03:30:00;111,36078;111,36078;-21,36078;-21,36078;19,058546;-1,823938
2024-06-21 03:40:00;110,726743;110,726743;-20,726743;-20,726743;21,420006;-1,825439
2024-06-21 03:50:00;110,022881;110,022881;-20,022881;-20,022881;23,748351;-1,82694
2024-06-21 04:00:00;109,251366;109,251366;-19,251366;-19,251366;26,041402;-1,828442
2024-06-21 04:10:00;108,414481;108,414481;-18,414481;-18,414481;28,297389;-1,829943
2024-06-21 04:20:00;107,514598;107,514598;-17,514598;-17,514598;30,514935;-1,831444
2024-06-21 04:30:00;106,554149;106,554149;-16,554149;-16,554149;32,69305;-1,832945
2024-06-21 04:40:00;105,535605;105,535605;-15,535605;-15,535605;34,831111;-1,834446
2024-06-21 04:50:00;104,461452;104,461452;-14,461452;-14,461452;36,928835;-1,835947
2024-06-21 05:00:00;103,334173;103,334173;-13,334173;-13,334173;38,98626;-1,837448
2024-06-21 05:10:00;102,156236;102,156236;-12,156236;-12,156236;41,003713;-1,838949
2024-06-21 05:20:00;100,930071;100,930071;-10,930071;-10,930071;42,981782;-1,84045
2024-06-21 05:30:00;99,658067;99,658067;-9,658067;-9,658067;44,921294;-1,84195
2024-06-21 05:40:00;98,342558;98,342558;-8,342558;-8,342558;46,823281;-1,843451
2024-06-21 05:50:00;96,985815;96,985815;-6,985815;-6,985815;48,688958;-1,844952
2024-06-21 06:00:00;95,590042;95,590042;-5,590042;-5,590042;50,519703;-1,846453
2024-06-21 06:10:00;94,157373;94,157373;-4,157373;-4,157373;52,317033;-1,847953
2024-06-21 06:20:00;92,689869;92,689869;-2,689869;-2,689869;54,082586;-1,849454
2024-06-21 06:30:00;91,189515;91,189515;-1,189515;-1,189515;55,818107;-1,850955
