Hora;Apparent Zenith;Zenith;Apparent Elevation;Elevation;Azimuth;Equation of time
2024-12-21 00:00:00;155,942435;155,942435;-65,942435;-65,942435;318,302562;1,981129
2024-12-21 00:10:00;157,101343;157,101343;-67,101343;-67,101343;323,271122;1,977683
2024-12-21 00:20:00;158,12747;158,12747;-68,12747;-68,12747;328,658053;1,974237
2024-12-21 00:30:00;159,000686;159,000686;-69,000686;-69,000686;334,462333;1,970791
2024-12-21 00:40:00;159,7007;159,7007;-69,7007;-69,7007;340,657138;1,967345
2024-12-21 00:50:00;160,208691;160,208691;-70,208691;-70,208691;347,183735;1,963898
2024-12-21 01:00:00;160,509332;160,509332;-70,509332;-70,509332;353,949838;1,960452
2024-12-21 01:10:00;160,592803;160,592803;-70,592803;-70,592803;0,835004;1,957005
2024-12-21 01:20:00;160,456275;160,456275;-70,456275;-70,456275;7,703512;1,953559
2024-12-21 01:30:00;160,104354;160,104354;-70,104354;-70,104354;14,421831;1,950112
2024-12-21 01:40:00;159,548356;159,548356;-69,548356;-69,548356;20,875408;1,946666
2024-12-21 01:50:00;158,804648;158,804648;-68,804648;-68,804648;26,979872;1,943219
2024-12-21 02:00:00;157,89258;157,89258;-67,89258;-67,89258;32,68458;1,939773
2024-12-21 02:10:00;156,832536;156,832536;-66,832536;-66,832536;37,969612;1,936326
2024-12-21 02:20:00;155,64442;155,64442;-65,64442;-65,64442;42,839042;1,932879
2024-12-21 02:30:00;154,346688;154,346688;-64,346688;-64,346688;47,313274;1,929432
2024-12-21 02:40:00;152,955845;152,955845;-62,955845;-62,955845;51,422249;1,925985
2024-12-21 02:50:00;151,486308;151,486308;-61,486308;-61,486308;55,200267;1,922538
2024-12-21 03:00:00;149,950467;149,950467;-59,950467;-59,950467;58,68247;1,919091
2024-12-21 03:10:00;148,358876;148,358876;-58,358876;-58,358876;61,902686;1,915644
2024-12-21 03:20:00;146,72048;146,72048;-56,72048;-56,72048;64,892264;1,912197
2024-12-21 03:30:00;145,042851;145,042851;-55,042851;-55,042851;67,679571;1,90875
2024-12-21 03:40:00;143,332411;143,332411;-53,332411;-53,332411;70,289882;1,905303
2024-12-21 03:50:00;141,594621;141,594621;-51,594621;-51,594621;72,745507;1,901855
2024-12-21 04:00:00;139,834151;139,834151;-49,834151;-49,834151;75,066035;1,898408
2024-12-21 04:10:00;138,055018;138,055018;-48,055018;-48,055018;77,268617;1,894961
2024-12-21 04:20:00;136,260703;136,260703;-46,260703;-46,260703;79,368266;1,891513
2024-12-21 04:30:00;134,454244;134,454244;-44,454244;-44,454244;81,378131;1,888066
2024-12-21 04:40:00;132,638319;132,638319;-42,638319;-42,638319;83,309756;1,884618
2024-12-21 04:50:00;130,815308;130,815308;-40,815308;-40,815308;85,173304;1,881171
2024-12-21 05:00:00;128,987346;128,987346;-38,987346;-38,987346;86,977756;1,877723
2024-12-21 05:10:00;127,156372;127,156372;-37,156372;-37,156372;88,73108;1,874275
2024-12-21 05:20:00;125,324159;125,324159;-35,324159;-35,324159;90,440379;1,870828
2024-12-21 05:30:00;123,49235;123,49235;-33,49235;-33,49235;92,112015;1,86738
2024-12-21 05:40:00;121,662482;121,662482;-31,662482;-31,662482;93,751717;1,863932
2024-12-21 05:50:00;119,836008;119,836008;-29,836008;-29,836008;95,364672;1,860484
2024-12-21 06:00:00;118,014316;118,014316;-28,014316;-28,014316;96,955605;1,857036
2024-12-21 06:10:00;116,198742;116,198742;-26,198742;-26,198742;98,52884;1,853588
2024-12-21 06:20:00;114,39059;114,39059;-24,39059;-24,39059;100,088362;1,85014
2024-12-21 06:30:00;112,59114;112,59114;-22,59114;-22,59114;101,637864;1,846692
2024-12-21 06:40:00;110,801658;110,801658;-20,801658;-20,801658;103,180787;1,843244
2024-12-21 06:50:00;109,02341;109,02341;-19,02341;-19,02341;104,720359;1,839796
2024-12-21 07:00:00;107,257667;107,257667;-17,257667;-17,257667;106,259621;1,836348
2024-12-21 07:10:00;105,505713;105,505713;-15,505713;-15,505713;107,801455;1,8329
2024-12-21 07:20:00;103,768856;103,768856;-13,768856;-13,768856;109,348608;1,829451
2024-12-21 07:30:00;102,04843;102,04843;-12,04843;-12,04843;110,903706;1,826003
2024-12-21 07:40:00;100,345804;100,345804;-10,345804;-10,345804;112,469274;1,822554
2024-12-21 07:50:00;98,66239;98,66239;-8,66239;-8,66239;114,047743;1,819106
2024-12-21 08:00:00;96,999643;96,999643;-6,999643;-6,999643;115,641465;1,815658
2024-12-21 08:10:00;95,359071;95,359071;-5,359071;-5,359071;117,252718;1,812209
2024-12-21 08:20:00;93,742236;93,742236;-3,742236;-3,742236;118,88371;1,80876
2024-12-21 08:30:00;92,150764;92,150764;-2,150764;-2,150764;120,536583;1,805312
2024-12-21 08:40:00;90,047709;90,586343;-0,047709;-0,586343;122,213411;1,801863
2024-12-21 08:50:00;88,707139;89,050728;1,292861;0,949272;123,916199;1,798414
2024-12-21 09:00:00;87,307398;87,545746;2,692602;2,454254;125,64688;1,794966
2024-12-21 09:10:00;85,893984;86,073297;4,106016;3,926703;127,407303;1,791517
2024-12-21 09:20:00;84,492452;84,635354;5,507548;5,364646;129,199226;1,788068
2024-12-21 09:30:00;83,115344;83,233965;6,884656;6,766035;131,024306;1,784619
2024-12-21 09:40:00;81,769809;81,87125;8,230191;8,12875;132,884076;1,78117
2024-12-21 09:50:00;80,460675;80,549404;9,539325;9,450596;134,779937;1,777721
2024-12-21 10:00:00;79,191697;79,270685;10,808303;10,729315;136,713131;1,774272
2024-12-21 10:10:00;77,966097;78,037419;12,033903;11,962581;138,68472;1,770823
2024-12-21 10:20:00;76,786827;76,851982;13,213173;13,148018;140,695562;1,767374
2024-12-21 10:30:00;75,656691;75,7168;14,343309;14,2832;142,746285;1,763925
2024-12-21 10:40:00;74,578409;74,634334;15,421591;15,365666;144,837259;1,760475
2024-12-21 10:50:00;73,554647;73,607064;16,445353;16,392936;146,968568;1,757026
2024-12-21 11:00:00;72,588023;72,637477;17,411977;17,362523;149,139983;1,753577
2024-12-21 11:10:00;71,681111;71,728045;18,318889;18,271955;151,350936;1,750128
2024-12-21 11:20:00;70,836423;70,881208;19,163577;19,118792;153,600495;1,746678
2024-12-21 11:30:00;70,056398;70,099346;19,943602;19,900654;155,887348;1,743229
2024-12-21 11:40:00;69,343377;69,384758;20,656623;20,615242;158,209786;1,739779
2024-12-21 11:50:00;68,699586;68,739635;21,300414;21,260365;160,565699;1,73633
2024-12-21 12:00:00;68,127107;68,166031;21,872893;21,833969;162,952572;1,73288
2024-12-21 12:10:00;67,62785;67,665837;22,37215;22,334163;165,367498;1,729431
2024-12-21 12:20:00;67,203535;67,240754;22,796465;22,759246;167,807196;1,725981
2024-12-21 12:30:00;66,855657;66,892267;23,144343;23,107733;170,268042;1,722531
2024-12-21 12:40:00;66,585472;66,621619;23,414528;23,378381;172,746107;1,719082
2024-12-21 12:50:00;66,39397;66,429795;23,60603;23,570205;175,237207;1,715632
2024-12-21 13:00:00;66,281864;66,317503;23,718136;23,682497;177,73696;1,712182
2024-12-21 13:10:00;66,249574;66,28516;23,750426;23,71484;180,240851;1,708732
2024-12-21 13:20:00;66,297222;66,332887;23,702778;23,667113;182,744302;1,705282
