Mes,Temperatura mínima media,Temperatura media,Temperatura máxima media,Temperatura mínima casa (5am),Temperatura máxima casa (5pm),Amplitud,Valormedio
Enero,1.2,4.9,8.7,11.2,18.7,3.75,14.95
Febrero,1.1,5.7,10.3,11.1,20.3,4.6,15.7
Marzo,2.7,8.2,13.7,12.7,23.7,5.5,18.2
Abril,4.1,9.8,15.4,14.1,25.4,5.65,19.75
Mayo,7.2,13.3,19.3,17.2,29.3,6.05,23.25
Junio,10.3,16.6,23,20.3,33,6.35,26.65
Julio,12.3,19,25.7,22.3,35.7,6.7,29
Agosto,12.5,19.2,25.9,22.5,35.9,6.7,29.2
Septiembre,10.1,16.6,23.1,20.1,33.1,6.5,26.6
Octubre,7.5,12.9,18.3,17.5,28.3,5.4,22.9
Noviembre,4,8.2,12.4,14,22.4,4.2,18.2
Diciembre,1.9,5.5,9.1,11.9,19.1,3.6,15.5
