hora,ángulo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
0,-165,13.97,14.51,16.78,18.29,21.68,25.01,27.27,27.47,24.92,21.50,17.11,14.57
1,-150,13.07,13.40,15.45,16.93,20.23,23.48,25.65,25.85,23.35,20.20,16.10,13.70
2,-135,12.29,12.45,14.31,15.75,18.97,22.16,24.26,24.46,22.00,19.08,15.23,12.95
3,-120,11.70,11.72,13.44,14.86,18.01,21.15,23.20,23.40,20.97,18.22,14.56,12.38
4,-105,11.32,11.26,12.89,14.29,17.41,20.52,22.53,22.73,20.32,17.68,14.14,12.02
5,-90,11.2,11.10,12.70,14.10,17.20,20.30,22.30,22.50,20.10,17.50,14.00,11.90
6,-75,11.32,11.26,12.89,14.29,17.41,20.52,22.53,22.73,20.32,17.68,14.14,12.02
7,-60,11.70,11.72,13.44,14.86,18.01,21.15,23.20,23.40,20.97,18.22,14.56,12.38
8,-45,12.29,12.45,14.31,15.75,18.97,22.16,24.26,24.46,22.00,19.08,15.23,12.95
9,-30,13.07,13.40,15.45,16.93,20.23,23.48,25.65,25.85,23.35,20.20,16.10,13.70
10,-15,13.97,14.51,16.78,18.29,21.68,25.01,27.27,27.47,24.92,21.50,17.11,14.57
11,0,14.95,15.70,18.20,19.75,23.25,26.65,29.00,29.20,26.60,22.90,18.20,15.50
12,15,15.92,16.89,19.62,21.21,24.82,28.29,30.73,30.93,28.28,24.30,19.29,16.43
13,30,16.82,18.00,20.95,22.58,26.28,29.83,32.35,32.55,29.85,25.60,20.30,17.30
14,45,17.60,18.95,22.09,23.75,27.53,31.14,33.74,33.94,31.20,26.72,21.17,18.05
15,60,18.19,19.68,22.96,24.64,28.49,32.15,34.80,35.00,32.23,27.58,21.84,18.62
16,75,18.57,20.14,23.51,25.21,29.09,32.78,35.47,35.67,32.88,28.12,22.26,18.98
17,90,18.7,20.30,23.70,25.40,29.30,33.00,35.70,35.90,33.10,28.30,22.40,19.10
18,105,18.57,20.14,23.51,25.21,29.09,32.78,35.47,35.67,32.88,28.12,22.26,18.98
19,120,18.19,19.68,22.96,24.64,28.49,32.15,34.80,35.00,32.23,27.58,21.84,18.62
20,135,17.60,18.95,22.09,23.75,27.53,31.14,33.74,33.94,31.20,26.72,21.17,18.05
21,150,16.82,18.00,20.95,22.58,26.28,29.83,32.35,32.55,29.85,25.60,20.30,17.30
22,165,15.92,16.89,19.62,21.21,24.82,28.29,30.73,30.93,28.28,24.30,19.29,16.43
23,180,14.95,15.70,18.20,19.75,23.25,26.65,29.00,29.20,26.60,22.90,18.20,15.50
